Cities,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
porkhov,0,AU,1547096400,7,-25.24,130.99,102.2,10.29
tianpeng,12,CA,1547100099,0,60.75,-137.51,-41.52,2.04
bud,0,ZA,1547097540,78,-31.59,28.78,71.6,8.05
visnes,0,CL,1547096400,93,-29.95,-71.34,59,3.36
nome,24,RU,1547100100,58,65.01,53.91,-19.96,3.38
smirnykh,1,US,1547099640,76,31.31,-92.44,39.92,4.38
amarillo,0,IN,1547100100,66,24.88,86.92,68.33,6.06
pingyin,76,CD,1547100100,99,0.05,18.26,73.01,2.37
bac lieu,1,US,1547096160,77,43.97,-111.68,26.96,4.7
hay river,68,RU,1547100101,86,59.08,42.29,13.79,11.1
vila,68,RU,1547100101,64,57.31,88.17,8.66,7.18
rio brilhante,90,US,1547099580,52,39.62,-77.74,32,14.99
severnyy,90,FR,1547098200,77,48.95,4.24,32,11.41
union,92,BR,1547100103,100,-2.92,-39.92,71.12,6.4
maraa,0,AE,1547096400,56,25.36,55.39,77,5.82
ewa beach,0,RU,1547100103,57,53.74,127.27,1.42,3.6
dodoma,1,US,1547098500,86,31.57,-91.43,36.68,5.06
lesnoy,80,PK,1547100026,94,29.1,70.33,55.87,4.5
aswan,12,BR,1547100103,86,-14.3,-43.77,70.67,9.53
vila velha,0,AR,1547100104,79,-43.3,-65.11,47.45,7.4
lively,75,RU,1547098200,78,56.08,86.02,8.6,8.95
chuy,75,RS,1547098200,100,43.52,20.24,26.6,1.12
nelson bay,0,VE,1547099941,72,9.75,-63.18,75.8,5.95
takanosu,0,IN,1547100105,66,25.33,76.51,65.72,4.38
seredeyskiy,90,FI,1547099400,92,62.78,29.36,14,1.12
ostersund,0,CI,1547100105,93,6.49,-6.58,68.65,3.15
toca,40,LV,1547097600,92,57.15,24.86,14,4.7
morondava,0,BF,1547100106,46,14.03,-0.03,52.31,6.96
paramonga,76,KZ,1547100106,100,44.51,50.26,32.65,12.1
sao bernardo,20,GE,1547098200,69,43.16,40.34,33.8,15.66
ossora,0,TD,1547100107,46,9.45,18.94,66.44,11.99
fortuna,90,CA,1547096400,74,60.72,-135.06,-23.81,3.36
egvekinot,0,TR,1547100107,43,37.51,34.05,-2.41,2.93
los llanos de aridane,90,US,1547098500,46,33.18,-102.27,45.86,6.93
nemuro,90,CA,1547098800,93,54.32,-130.32,39.2,4.5
hof,75,PF,1547098200,69,-17.73,-149.15,80.6,5.82
pandaria,48,RU,1547100108,72,63.29,118.35,-6.55,5.95
lima,90,PL,1547098200,85,52.59,21.46,21.2,5.82
uberaba,0,BF,1547096400,29,12.23,-1.93,60.8,4.7
manavalakurichi,8,IN,1547100109,72,30.78,78.62,44.75,1.48
santiago de chuco,0,GH,1547100119,100,4.89,-1.75,80.21,8.63
ozimek,40,ID,1547098200,62,-7.54,112.45,89.6,4.7
yar-sale,0,CN,1547098200,19,40.22,116.23,37.4,4.47
show low,12,GB,1547099400,100,50.8,-0.06,32,3.36
krasnoselkup,68,BS,1547100120,100,26.61,-78.36,72.02,14.45
fernley,75,JP,1547098200,38,35.74,139.53,42.8,10.29
tartagal,75,TW,1547098200,61,22.97,120.29,80.6,11.41
chipinge,0,LK,1547100121,66,7.35,80.68,84.53,5.17
aquiraz,56,PG,1547100122,99,-3.15,142.36,80.8,9.64
severo-kurilsk,76,BO,1547100122,89,-16.14,-62.05,71.89,5.17
ijuin,0,EG,1547096400,86,31.4,30.42,41,2.24
togur,90,US,1547099580,92,45.36,-122.61,51.08,14.99
yulara,90,US,1547098500,48,36.98,-76.43,37.94,5.82
haines junction,92,NO,1547097600,93,59.79,5.78,35.6,14.99
umtata,92,BR,1547100124,98,-7.48,-37.27,67.79,2.93
coquimbo,92,AF,1547100124,99,36.84,66.1,46.82,6.06
mizpe ramon,75,NO,1547097600,68,70.24,22.35,28.4,16.11
izhma,80,ES,1547098200,94,42.34,-3.7,33.8,13.87
alexandria,64,BR,1547100067,86,-21.65,-41.75,72.97,7.4
banka,92,PH,1547100125,100,11.03,125.72,79.27,20.04
mbandaka,44,PG,1547100126,100,-2.67,141.3,82.19,15.68
saint anthony,5,CA,1547096400,76,49.72,-86.95,-7.61,8.05
soligalich,76,BR,1547100127,87,-29.69,-53.81,73.37,9.08
teguldet,92,CN,1547100127,100,29.96,122.3,52.09,12.66
vardo,92,AR,1547100129,100,-33.68,-59.66,66.98,13.11
saint-pierre,92,CD,1547100129,100,-0.28,20.88,70.94,1.36
itarema,20,RU,1547100129,0,66.77,123.37,-44.04,3.38
sharjah,0,IN,1547100130,93,28.29,80.34,60.59,4.61
zeya,0,IN,1547100130,68,22.61,84.51,67.57,4.5
vidalia,90,US,1547098500,53,39,-77.4,33.98,20.8
rajanpur,88,BR,1547100076,100,-2.9,-40.84,71.03,2.71
carinhanha,88,RU,1547100130,88,53.19,44.05,11.63,7.07
rawson,92,BR,1547100131,99,-30.98,-54.67,70,3.38
anzhero-sudzhensk,0,BS,1547099918,100,26.54,-77.06,72.7,17.81
mana,44,TR,1547100131,57,40.67,33.6,2.72,2.15
maturin,0,SA,1547096400,58,18.39,42.45,55.4,2.59
mangrol,20,RU,1547100132,67,49.22,143.1,11.45,9.98
sola,90,CA,1547097000,85,50.23,-63.6,19.4,19.46
issia,40,IN,1547098200,61,12.63,80.17,82.4,5.82
sigulda,12,IN,1547100133,100,11.67,92.75,81.92,7.63
dori,0,BD,1547100133,46,26.2,88.56,73.37,5.73
attawapiskat,90,GB,1547099400,85,53.39,-2.59,35.6,2.24
dahuk,75,PT,1547096400,100,38.73,-27.07,59,15.68
fort-shevchenko,0,PY,1547100134,50,-23.49,-58.8,85.39,13.67
pitsunda,64,RU,1547100134,56,67.8,130.41,-33.87,2.93
kyabe,40,RU,1547098200,73,56.17,91.82,21.2,11.18
whitehorse,1,US,1547099700,42,34.65,-82.78,40.46,14.99
eregli,0,RU,1547100136,0,70,135.55,-49.89,2.93
brownfield,80,CN,1547100136,55,32.99,105.33,34.94,3.04
prince rupert,24,ID,1547100136,100,-0.86,131.25,83.81,2.59
tautira,24,ZW,1547100136,78,-18.13,30.15,75.98,4.61
nyurba,92,PE,1547100136,100,-14.07,-70.43,51.82,1.48
banmo,0,ET,1547100137,23,7.14,40.71,69.14,3.49
wyszkow,64,PG,1547100137,100,-2.57,150.8,84.26,7.52
gouloure,1,US,1547099580,81,37.35,-108.58,26.96,5.82
lata,92,BR,1547100138,95,-1.2,-46.02,76.97,7.96
takoradi,12,RW,1547100138,83,-1.65,29.38,64.91,2.15
puri,44,BR,1547100138,98,-21.64,-41.05,78.5,14.79
changping,0,SD,1547100138,40,13.6,26.69,52.99,11.77
rottingdean,40,PH,1547096400,55,14.31,121.23,87.8,13.87
freetown,90,AU,1547098200,82,-34.67,150.86,68,10.29
nishihara,92,BR,1547100139,100,-3.2,-52.21,72.79,2.93
guiren,48,RU,1547100140,85,58.29,43.89,7.27,11.21
lolua,76,BR,1547100140,97,-2.53,-45.09,74.27,2.59
wattegama,64,RU,1547100140,80,62.16,117.65,-1.74,5.06
aitape,0,IN,1547100141,42,22.62,71.45,73.24,8.08
guantanamo,64,DK,1547097600,92,56.42,10.88,26.6,3.36
jacareacanga,90,LT,1547097600,84,55.29,23.97,3.2,2.24
rosetta,40,AO,1547096400,88,-8.83,13.24,75.2,3.36
kloulklubed,0,ZA,1547096400,67,-28.46,21.24,60.8,3.36
oregon city,0,IN,1547100142,62,29.85,79.77,44.75,2.37
newport news,0,IN,1547096400,34,27.37,75.57,64.4,3.36
gravdal,0,CN,1547100142,60,37.93,102.64,24.59,4.05
sao jose do egito,88,RU,1547100143,89,63.05,179.32,25.9,24.52
khairabad,75,JP,1547096400,56,33.93,134.5,48.2,2.24
oksfjord,92,BR,1547100143,100,-1.71,-47.89,72.38,1.14
burgos,92,AR,1547100089,98,-33.75,-61.97,61.54,27.65
sao fidelis,90,US,1547098800,93,36.97,-122.03,55.4,3.36
guiuan,75,NO,1547097600,88,65.54,13.39,37.4,10.29
koungou,88,GA,1547100145,97,-1.58,14.26,68.06,3.49
vanimo,0,ML,1547100145,69,16.42,-3.66,52.67,8.63
umzimvubu,32,PK,1547100145,72,34.56,76.13,-12.36,1.36
geraldton,75,GR,1547099400,76,35.27,25.72,57.2,27.51
karaul,44,RU,1547100146,58,58.97,126.27,0.79,3.94
santa maria,90,RU,1547098200,85,64.73,177.51,17.6,42.5
shenjiamen,90,AU,1547096400,46,-23.53,148.16,89.6,12.75
san pedro,90,US,1547099580,93,38.58,-121.49,53.96,6.93
boende,64,RU,1547100147,0,67.55,133.39,-43.77,1.7
chumikan,32,ID,1547100148,95,-8.63,122.22,84.85,7.4
zhigansk,32,MM,1547100148,90,20.88,95.86,73.55,5.95
mailani,0,BR,1547100148,82,-18.36,-44.46,68.47,6.96
simdega,,,,,,,,
sterling,,,,,,,,
camocim,,,,,,,,
kamenka,,,,,,,,
dom pedrito,,,,,,,,
marsh harbour,,,,,,,,
ayan,,,,,,,,
skalistyy,,,,,,,,
faya,,,,,,,,
jujuy,,,,,,,,
poronaysk,,,,,,,,
havre-saint-pierre,,,,,,,,
mamallapuram,,,,,,,,
port blair,,,,,,,,
boda,,,,,,,,
scalloway,,,,,,,,
warrington,,,,,,,,
praia da vitoria,,,,,,,,
pozo colorado,,,,,,,,
batagay-alyta,,,,,,,,
kavaratti,,,,,,,,
kedrovyy,,,,,,,,
pendleton,,,,,,,,
yingzhong,,,,,,,,
ust-kuyga,,,,,,,,
weihe,,,,,,,,
sorong,,,,,,,,
chegutu,,,,,,,,
macusani,,,,,,,,
ginir,,,,,,,,
kavieng,,,,,,,,
cortez,,,,,,,,
hammerfest,,,,,,,,
carutapera,,,,,,,,
kabare,,,,,,,,
atka,,,,,,,,
sao joao da barra,,,,,,,,
umm kaddadah,,,,,,,,
tabon,,,,,,,,
kiama,,,,,,,,
altamira,,,,,,,,
neya,,,,,,,,
ruatoria,,,,,,,,
pinheiro,,,,,,,,
suntar,,,,,,,,
muli,,,,,,,,
grenaa,,,,,,,,
kedainiai,,,,,,,,
ngukurr,,,,,,,,
luanda,,,,,,,,
upington,,,,,,,,
bageshwar,,,,,,,,
ringas,,,,,,,,
wuwei,,,,,,,,
beringovskiy,,,,,,,,
mporokoso,,,,,,,,
katsuura,,,,,,,,
jutai,,,,,,,,
venado tuerto,,,,,,,,
santa cruz,,,,,,,,
trofors,,,,,,,,
lekoni,,,,,,,,
skaerbaek,,,,,,,,
goundam,,,,,,,,
kargil,,,,,,,,
skhisma,,,,,,,,
tommot,,,,,,,,
anadyr,,,,,,,,
emerald,,,,,,,,
korla,,,,,,,,
sacramento,,,,,,,,
verkhoyansk,,,,,,,,
maumere,,,,,,,,
meiktila,,,,,,,,
corinto,,,,,,,,
